% Star Wars Minifigures dataset
@RELATION minifigs

@ATTRIBUTE ID STRING
@ATTRIBUTE Sets NUMERIC
@ATTRIBUTE "Value, €" NUMERIC
@ATTRIBUTE "Growth, %" NUMERIC
@ATTRIBUTE Year STRING
@ATTRIBUTE Released STRING
@ATTRIBUTE Subtheme STRING
@ATTRIBUTE Name STRING

@DATA
sw1299,1,5.66,?,2023,'september 2023',ahsoka,'professor huyang'
sw1298,1,3.29,0.54,2023,'september 2023',seasonal,ewok
sw1297,1,3.59,9.38,2023,'september 2023',seasonal,'emperor palpatine'
sw1296,1,3.30,17.19,2023,'september 2023',seasonal,'princess leia'
sw1295,1,2.64,?,2023,'september 2023',seasonal,'reindeer gonk droid (gnk power droid)'
sw1294,1,5.06,133.74,2023,'september 2023',seasonal,'pit droid in a holiday outfit'
sw1293,1,11.98,?,2023,'september 2023',ahsoka,'baylan skoll'
sw1292,1,12.28,?,2023,'september 2023',ahsoka,'shin hati'
sw1291,1,5.96,?,2023,'september 2023',ahsoka,'astromech droid'
sw1290,1,6.87,?,2023,'september 2023',ahsoka,'morgan elsbeth'
sw1289,1,5.71,?,2023,'september 2023',ahsoka,'captain porter'
sw1288,1,6.05,?,2023,'august 2023','the clone wars',yoda
sw1287,1,17.04,?,2023,'august 2023','the mandalorian','bo-katan kryze'
sw1286,1,5.73,?,2023,'august 2023','episode iv','rebel crew'
sw1285,3,2.18,?,'2023 - 2024','august 2023','episode iv','rebel fleet trooper'
sw1284,1,7.71,?,2023,'august 2023','episode iv','han solo'
sw1283,1,8.85,?,2023,'august 2023','episode iv','luke skywalker'
sw1282,1,8.19,?,2023,'august 2023','episode iv','princess leia'
sw1281,1,8.42,?,2023,'august 2023','episode iv','rebel pilot garven dreis red leader'
sw1280,1,6.24,?,2023,'august 2023','episode iv','astromech droid r2-bhd'
sw1279,1,7.63,?,2023,'august 2023','episode iv','rebel pilot y-wing jon dutch vander gold leader'
sw1278,1,2.49,?,2023,'august 2023','the clone wars','clone trooper'
sw1277,1,2.41,?,2023,'august 2023','the clone wars','clone captain vaughn'
sw1276,1,2.48,?,2023,'august 2023','the clone wars','clone trooper'
sw1275,3,4.35,?,'2023 - 2024','august 2023',mechs,'imperial stormtrooper'
sw1274,2,4.39,?,'2023 - 2024','august 2023',mechs,'boba fett'
sw1273,3,5.17,?,'2023 - 2024','august 2023',mechs,'darth vader'
sw1272,1,28.91,470.31,2023,'may 2023','employee gift',yoda
sw1270,1,4.70,?,2023,'june 2023','young jedi adventures',yoda
sw1269,1,4.82,?,2023,'june 2023','young jedi adventures','lys solay'
sw1268,1,4.29,?,2023,'june 2023','young jedi adventures','kai brightstar'
sw1267,1,17.82,?,2023,'may 2023','ultimate collector series','luke skywalker'
sw1266,1,7.54,?,2023,'may 2023','diorama collection','luke skywalker'
sw1265,1,4.14,?,2023,'may 2023','diorama collection','imperial scout trooper'
sw1264,1,6.88,?,2023,'may 2023','diorama collection','princess leia'
sw1263,2,5.81,?,'2023 - 2024','may 2023','diorama collection','emperor palpatine'
sw1262,1,11.14,?,2023,'may 2023','diorama collection','luke skywalker'
sw1261,1,6.37,?,2023,'april 2023','the mandalorian','astromech droid'
sw1260,2,3.67,?,'2023 - 2024','april 2023','the mandalorian','imperial tie fighter / interceptor pilot'
sw1259,2,4.75,?,2023,'april 2023','the mandalorian','mandalorian fleet commander'
sw1258,3,3.74,?,2023,'april 2023',microfighters,'the mandalorian - din djarin'
sw1257,1,4.52,?,2023,'may 2023','the mandalorian',vane
sw1256,1,4.57,?,2023,'may 2023','the mandalorian','snub fighter pilot'
sw1255,1,4.96,13.94,2023,?,'magazine gifts','obi-wan kenobi'
sw1252,1,2.04,?,2023,?,'episode vi','gonk droid (gnk power droid)'
sw1251,1,3.66,?,2023,?,'episode vi','imperial tie bomber pilot'
sw1250,1,5.74,?,2023,?,'episode vi','vice admiral sloane'
sw1249,3,3.89,?,'2023 - 2024',?,'episode vi','darth vader'
sw1248,2,2.44,?,'2023 - 2024',?,'the clone wars','clone trooper specialist'
sw1247,1,2.26,?,2023,?,'the clone wars','clone heavy trooper'
sw1246,1,2.35,?,2023,?,'the clone wars','clone trooper officer'
sw1245,1,3.04,?,2023,?,microfighters,'boba fett'
sw1244,1,36.13,?,2022,'october 2022','ultimate collector series',kuiil
sw1243,1,27.10,?,2022,'october 2022','ultimate collector series','the mythrol'
sw1242,1,35.03,?,2022,'october 2022','ultimate collector series','the mandalorian'
sw1241,1,3.84,96.40,2022,'september 2022',seasonal,r2-d2
sw1240,1,1.17,17.70,2022,'september 2022',seasonal,'santa gonk droid (gnk power droid)'
sw1239,1,4.57,15.85,2022,'september 2022',seasonal,'darth vader'
sw1238,1,3.92,52.92,2022,'september 2022',seasonal,c-3po
sw1237,1,8.80,56.49,2022,'august 2022','obi-wan kenobi','reva inquisitor'
sw1236,1,9.65,?,2022,'august 2022','episode iii','clone trooper gunner'
sw1235,3,6.16,?,'2022 - 2023','august 2022','episode iii','clone trooper'
sw1234,1,4.04,?,2022,'august 2022','episode iii','dwarf spider droid'
sw1233,1,17.60,?,2022,'august 2022','episode iii','clone trooper commander cody'
sw1232,1,11.60,33.40,2022,'august 2022',andor,'pre-mor security deputy inspector syril karn'
sw1231,1,12.65,87.48,2022,'august 2022',andor,'cassian andor'
sw1230,1,13.19,118.51,2022,'august 2022',andor,'luthen rael'
sw1229,1,4.95,38.77,2022,'august 2022','episode vi','imperial scout trooper'
sw1228,1,6.79,54.71,2022,'august 2022','obi-wan kenobi','darth vader'
sw1227,1,3.12,18.00,2022,'august 2022','obi-wan kenobi','obi-wan kenobi'
sw1226,1,7.25,25.99,2022,'august 2022','obi-wan kenobi','ned-b loader droid'
sw1225,1,3.64,15.64,2022,'august 2022','obi-wan kenobi','tala durith'
sw1224,1,7.50,22.41,2022,'august 2022','obi-wan kenobi','ben kenobi'
sw1223,1,14.96,237.97,2022,'august 2022','obi-wan kenobi','imperial inquisitor fifth brother'
sw1222,1,18.68,318.74,2022,'august 2022','obi-wan kenobi','grand inquisitor'
sw1221,1,1.98,?,2022,'august 2022','episode ii','astromech droid, r4-p17'
sw1220,1,3.42,?,2022,'august 2022','episode ii','obi-wan kenobi'
sw1219,1,24.21,450.20,2022,'july 2022','the bad batch','cad bane'
sw1218,1,6.44,36.82,2022,'august 2022','episode vi','wicket (ewok)'
sw1217,1,4.88,35.12,2022,'august 2022','episode vi','imperial at-st driver'
sw1216,1,5.82,?,2022,'august 2022','episode ii','taun we'
sw1215,1,6.54,86.22,2022,'july 2022','the bad batch','todo 360'
sw1214,2,3.41,14.16,'2022 - 2023','july 2022','the bad batch',omega
sw1213,1,25.89,195.98,2022,'august 2022','jedi fallen order',bd-1
sw1212,1,4.71,?,2022,'march 2022','the book of boba fett','the mandalorian (din djarin / mando)'
