% Star Wars Minifigures dataset
@RELATION minifigs

@ATTRIBUTE ID STRING
@ATTRIBUTE Sets NUMERIC
@ATTRIBUTE "Value, €" NUMERIC
@ATTRIBUTE "Growth, %" NUMERIC
@ATTRIBUTE Year STRING
@ATTRIBUTE Released STRING
@ATTRIBUTE Subtheme STRING
@ATTRIBUTE Name STRING

@DATA
sw1027,1,58.59,534.10,2019,'april 2019','episode v','lando calrissian'
sw1026,1,6.14,100.00,2019,'april 2019','episode v','hoth rebel trooper'
sw1025,1,10.01,184.96,2019,'april 2019','episode v','dak ralter'
sw1024,1,8.25,199.36,2019,'april 2019','episode i','luke skywalker'
sw1023,1,12.98,245.43,2019,'april 2019','episode i','padme naberrie amidala'
sw1022,1,20.64,170.79,2019,'april 2019','episode v','princess leia'
sw1021,1,5.85,23.15,2019,'april 2019','episode v','han solo'
sw1020,1,47.04,516.49,2019,'april 2019','episode v',zuckuss
sw1019,1,7.90,80.68,2019,'april 2019',resistance,'poe dameron'
sw1018,1,16.32,165.38,2019,'april 2019',resistance,'griff halloran'
sw1017,1,5.07,130.40,2019,'april 2019','episode v','imperial probe droid'
sw1016,1,6.23,58.74,2019,'april 2019','episode v','hoth rebel trooper'
sw1015,1,6.02,109.17,2019,'april 2019','episode v','hoth rebel trooper'
sw1014,1,6.56,68.40,2019,'april 2019','episode v','hoth rebel trooper'
sw1013,1,21.25,357.39,2019,'april 2019',resistance,bucket
sw1012,1,13.55,190.57,2019,'april 2019',resistance,'kaz xiono'
sw1011,1,11.67,98.21,2019,'april 2019',resistance,'general leia'
sw1010,1,31.06,266.08,2019,'april 2019',resistance,'major vonreg'
sw1009,3,4.31,62.25,'2019 - 2020','april 2019','episode v',snowtrooper
sw1008,1,6.31,104.86,2019,'april 2019','episode v','hoth rebel trooper'
sw1007,1,9.52,49.24,2019,'april 2019','episode vi','scout trooper'
sw1006,1,13.21,330.09,2019,'april 2019','the force awakens','kylo ren'
sw1005,1,'1 030.52',23320.80,2018,'may 2019','the last jedi','finch dallow'
sw1004,1,1.24,30.56,2019,'january 2019','episode iv','mouse droid'
sw1003,1,52.73,595.13,2019,'january 2019','episode iii','clone commander gree'
sw1002,2,20.52,335.07,2019,'january 2019','episode iii','kashyyyk clone trooper'
sw1001,2,4.27,113.66,2019,'january 2019',microfighters,'anakin skywalker'
sw1000,1,11.86,457.02,2019,'january 2019',battlefront,'iden versio'
sw0999,1,8.87,236.00,2019,'january 2019','episode iv','luke skywalker'
sw0998,1,1.76,4.71,2019,'january 2019','the last jedi','praetorian training droid'
sw0997b,5,5.15,58.11,'2019 - 2020','january 2019','episode iv',stormtrooper
sw0997a,1,17.81,201.19,2019,'january 2019','episode iv',stormtrooper
sw0996,3,2.56,8.58,'2019 - 2020','january 2019','episode iii','kashyyyk battle droid'
sw0995,3,7.97,81.20,2019,'january 2019','4 plus','rebel fleet trooper'
sw0994,2,7.00,57.31,'2019 - 2022','january 2019','episode iv','princess leia'
sw0992,1,22.11,393.71,2019,'january 2019',microfighters,'sandtrooper squad leader/captain'
sw0991,3,4.58,40.16,'2019 - 2020','january 2019','4 plus','luke skywalker'
sw0990,2,5.45,166.81,'2019 - 2020','january 2019','the last jedi','elite praetorian guard'
sw0989,1,6.26,37.79,2019,'january 2019','the last jedi','elite praetorian guard'
sw0988,1,9.19,54.67,2019,'january 2019',battlefront,'inferno squad agent'
sw0987,1,9.25,320.40,2019,'january 2019',battlefront,'inferno squad agent'
sw0986,1,10.86,397.58,2019,'january 2019',battlefront,'inferno squad agent'
sw0985,1,144.53,228.48,2018,'december 2018',promotional,'black vip'
sw0984,1,6.42,264.50,2006,'june 2006','episode v','han solo in carbonite'
sw0983,2,0.89,?,'2018 - 2019','december 2018',?,'mouse droid'
sw0982,1,30.35,364.20,2018,'december 2018',?,'imperial transport pilot'
sw0981,1,28.70,605.84,2018,'december 2018',?,'darth vader'
sw0980,1,15.84,200.00,1999,?,'episode i',sebulba
sw0979,1,32.02,627.80,2001,?,'episode i','aldar beedo'
sw0978,6,4.53,12.69,'2010 - 2019','july 2010','episode v','han solo in carbonite'
sw0977,1,129.25,2837.40,2018,'october 2018','master builder series','boba fett'
sw0976,1,132.59,655.24,2018,'october 2018','master builder series','han solo'
sw0975,1,10.28,289.33,2018,'october 2018','master builder series','bespin guard'
sw0974,1,24.09,331.18,2018,'october 2018','master builder series',lobot
sw0973,1,215.64,4801.00,2018,'october 2018','master builder series','lando calrissian'
sw0972,1,101.70,672.53,2018,'october 2018','master builder series','princess leia bespin'
sw0971,3,7.14,48.53,'2018 - 2020','october 2018','master builder series','luke skywalker'
sw0970,1,39.03,510.88,2018,'october 2018','master builder series',ugnaught
sw0969,2,5.39,53.25,'2018 - 2019','october 2018','master builder series','cloud car pilot'
sw0968,1,2.80,17.78,2018,'september 2018',seasonal,ig-88
sw0967,1,5.99,5.26,2018,'october 2018','magazine gifts','droideka destroyer droid'
sw0966,1,10.89,209.25,2016,'march 2016','episode iii','dwarf spider droid'
sw0965,1,11.65,120.67,2013,'august 2013','episode ii','dwarf spider droid'
sw0964,2,17.87,190.56,2008,'december 2007',comic-con,'dwarf spider droid'
sw0963,1,4.91,124.10,2018,'september 2018',seasonal,'antoc merrick'
sw0962,1,18.37,88.19,2017,'september 2017','the last jedi','first order stormtrooper squad leader'
sw0961,1,48.04,627.87,2018,'august 2018','episode iv','sandtrooper squad leader'
sw0960,1,44.14,402.10,2018,'august 2018','episode iv',sandtrooper
sw0959,1,3.91,12.98,2018,'august 2018','episode v','fx-7 medical assistant droid'
sw0958,2,19.62,416.20,2018,'august 2018','episode v','princess leia'
sw0957,1,13.69,380.25,2018,'august 2018','episode v','luke skywalker'
sw0956,1,20.35,454.68,2018,'august 2018','episode v','2-1b medical droid'
sw0955,1,59.71,1118.13,2018,'august 2018',solo,'rio durant'
sw0954,1,12.96,259.27,2018,'august 2018',solo,'dryden\'s guard'
sw0953,1,16.10,280.25,2018,'august 2018',solo,val
sw0952,1,25.32,195.08,2018,'august 2018','episode iv','luke skywalker'
sw0951,1,35.26,968.53,2018,'august 2018',solo,'imperial gunner'
sw0950,1,58.12,671.61,2018,'august 2018',solo,'range trooper'
sw0949,1,13.32,310.30,2018,'august 2018',solo,'han solo'
sw0948,1,13.50,260.94,2018,'august 2018',solo,chewbacca
sw0947,1,12.06,119.36,2018,'august 2018','the last jedi','elite praetorian guard'
sw0946,1,10.90,284.78,2018,'august 2018',solo,'qi\'ra'
sw0945,1,12.95,374.84,2018,'august 2018',solo,'dryden\'s guard'
sw0944,1,20.50,233.33,2018,'august 2018','episode iv','biggs darklighter'
sw0943,1,10.28,200.26,2018,'august 2018','episode iv',r2-q2
sw0942,1,7.78,307.37,2018,'august 2018',solo,weazel
sw0941,1,6.92,162.00,2018,'august 2018',solo,'tobias beckett'
sw0940,1,20.28,615.84,2018,'august 2018',solo,'enfys nest'
sw0939,1,20.30,429.13,2018,'august 2018','the clone wars','anakin skywalker'
sw0938,1,45.45,523.04,2018,'august 2018','episode iv','ra-7 protocol droid'
sw0937,1,36.56,494.42,2018,'august 2018','episode iv',r5-a2
sw0936,1,52.58,1012.66,2018,'august 2018','episode iv','2-1b medical droid'
sw0935,1,21.08,280.16,2018,'october 2018',solo,'kessel mine worker'
sw0934,1,16.43,213.78,2018,'october 2018',solo,'han solo'
sw0933,1,39.60,592.31,2018,'may 2018','ultimate collector series','astromech droid r2-bhd'
sw0932,1,68.37,577.92,2018,'may 2018','ultimate collector series','dutch vander'
sw0931,1,4.46,54.10,2020,'january 2020','the rise of skywalker','poe dameron'
sw0930,1,9.21,301.15,2018,'may 2018','magazine gifts','dwarf spider droid'
sw0929,1,13.23,199.40,2018,'april 2018',solo,'kessel operations droid'
sw0928,1,10.54,110.92,2018,'april 2018',solo,dd-bd
sw0927,1,78.15,1676.20,2018,'april 2018',solo,'mimban stormtrooper'
sw0926,1,8.82,158.25,2018,'april 2018',solo,'imperial pilot'
sw0925,1,43.52,475.67,2018,'april 2018',solo,'han solo'
sw0924,1,38.70,469.69,2018,'april 2018',solo,'quay tolsite'
sw0923,1,32.94,239.96,2018,'april 2018',solo,'lando calrissian'
sw0922,2,17.45,215.26,2018,'april 2018',solo,chewbacca
sw0921,2,32.80,493.47,2018,'april 2018',solo,'han solo'
sw0920,1,12.87,267.34,2018,'april 2018',solo,'qi\'ra'
sw0919,1,15.12,408.28,2018,'april 2018',solo,'tobias beckett'
sw0918,1,4.91,179.00,2018,'april 2018',solo,rebolt
sw0917,1,17.65,580.00,2018,'april 2018',solo,moloch
sw0916,1,6.52,222.17,2018,'april 2018',solo,'qi\'ra'
sw0915,1,9.92,276.92,2018,'april 2018',solo,'han solo'
sw0914,1,8.84,402.50,2018,'april 2018',solo,'imperial patrol trooper'
sw0913,1,11.05,470.91,2018,'april 2018',solo,'imperial recruitment officer'
sw0912,1,5.24,52.96,2018,'april 2018',solo,'imperial emigration officer'
sw0911,1,18.22,164.83,2018,'april 2018','episode ii',ki-adi-mundi
sw0910,1,9.85,121.15,2018,'april 2018','episode ii','clone trooper'
sw0909,1,9.35,61.55,2018,'april 2018','episode ii','barriss offee'
sw0908,1,5.09,156.89,2018,'april 2018','episode v',r2-d2
sw0907,1,8.04,232.36,2018,'april 2018','episode v','luke skywalker'
sw0906,2,10.45,150.95,'2018 - 2022','april 2018','episode v',yoda
sw0905,6,3.88,82.23,'2017 - 2019','june 2017','the force awakens','first order stormtrooper'
sw0904,1,45.05,203.80,2018,?,'the last jedi','captain phasma'
sw0903,1,6.13,76.46,2018,'january 2018','the last jedi','dj code breaker'
sw0902,2,5.19,111.47,'2018 - 2020',?,microfighters,'first order tie pilot'
sw0901,1,5.43,105.67,2018,?,'the last jedi','rose tico'
sw0900,1,6.27,103.71,2018,?,'the last jedi',finn
sw0898,2,9.69,?,'2018 - 2020',?,'episode iv',greedo
sw0897,4,5.48,?,'2018 - 2020',?,'episode iv',jawa
sw0896,2,7.81,324.88,2018,?,'episode iv',jawa
sw0895,1,4.87,145.78,2018,?,'episode iv','astromech droid'
sw0894,1,32.87,352.73,2018,?,'episode iv',sandtrooper
sw0893,2,3.58,?,'2018 - 2020',?,'episode iv',wuher
sw0892,1,16.32,329.17,2018,?,'the last jedi','resistance trooper'
sw0891,1,21.74,416.74,2018,?,'the last jedi','admiral ematt'
sw0890,1,10.20,135.57,2018,?,'the last jedi','captain poe dameron'
sw0889,1,12.31,169.56,2018,?,'the clone wars','mace windu'
sw0888,1,5.19,166.97,2018,?,'the last jedi',rey
sw0887,1,22.81,343.84,2018,?,'the last jedi','old luke skywalker'
sw0886,1,5.23,134.78,2018,?,'the last jedi','first order stormtrooper executioner'
sw0885,2,13.15,420.56,2018,?,microfighters,'kylo ren'
sw0884,1,13.38,455.11,2018,?,microfighters,'tallissan \'tallie\' lintra'
sw0883,1,9.50,224.32,2018,?,microfighters,'nodin chavdri'
sw0882,1,31.19,422.71,2018,'december 2017',?,'sandspeeder pilot'
sw0881,1,23.49,284.58,2018,'december 2017',?,'sandspeeder gunner'
sw0879,1,17.77,?,2017,'january 2018','ultimate collector series','han solo'
sw0878,1,16.88,?,2017,'january 2018','ultimate collector series','princess leia'
sw0877,1,7.75,120.80,2017,'september 2017',seasonal,'imperial officer'
sw0876,1,2.90,73.68,2017,'september 2017',seasonal,'major brance'
sw0875,1,3.29,6.86,2017,'september 2017',seasonal,'first order snowtrooper'
sw0874,1,5.15,82.81,2017,'september 2017',seasonal,'bb-8 with santa hat'
sw0873,1,3.77,56.78,2017,'september 2017','the last jedi','first order medical droid'
sw0872,1,18.08,133.52,2017,'september 2017','the last jedi','first order stormtrooper squad leader'
sw0871,2,3.24,5.14,'2017 - 2018','september 2017','the last jedi','first order shuttle pilot'
sw0870,1,10.55,112.59,2017,'september 2017','the last jedi','first order officer'
sw0869,2,9.86,219.09,'2017 - 2018','september 2017','the last jedi','first order walker driver'
sw0868,1,11.27,127.94,2017,'september 2017','the last jedi','captain poe dameron'
sw0867,1,16.92,242.17,2017,'september 2017','the last jedi','resistance trooper'
sw0866,2,14.36,233.74,'2017 - 2018','september 2017','the last jedi',rey
sw0865,2,7.17,57.03,'2017 - 2018','september 2017','the last jedi','poe dameron'
sw0864,2,25.51,357.98,'2017 - 2018','september 2017','the last jedi','resistance gunner paige'
sw0863,2,28.93,293.65,'2017 - 2018','september 2017','the last jedi','vice admiral holdo'
sw0862,2,27.02,341.24,'2017 - 2018','september 2017','the last jedi','resistance bombardier'
sw0861,2,23.50,375.09,'2017 - 2018','september 2017','the last jedi','resistance bomber pilot'
sw0860,1,15.33,175.63,2017,'september 2017','the last jedi','first order tie pilot'
sw0859,1,22.07,151.30,2017,'september 2017','the last jedi','kylo ren'
sw0858,1,5.93,169.60,2017,'september 2017','the last jedi',finn
sw0857,2,3.13,4.40,'2017 - 2018','september 2017','the last jedi','rose tico'
sw0856,2,13.19,233.85,'2017 - 2018','september 2017','the last jedi','supreme leader snoke'
sw0855,2,10.59,138.69,2017,'september 2017','the last jedi',bb-9e
sw0854,1,9.71,175.75,2017,'september 2017','the last jedi','general hux'
sw0853,1,6.22,128.06,2017,'september 2017','the last jedi','resistance trooper'
sw0852,1,62.34,684.50,2017,'june 2017','original content','m-oc hunter droid'
sw0851,2,2.63,11.15,'2017 - 2018','june 2017','original content',rowan
sw0850,1,34.08,413.66,2017,'september 2017','rogue one','scarif stormtrooper squad leader'
sw0849,1,11.76,357.53,2017,'june 2017','original content',zander
sw0848,1,5.80,75.27,2017,'june 2017','original content',kordi
sw0847a,1,2.27,1.18,2018,'september 2018','magazine gifts','imperial probe droid'
sw0847,1,6.72,147.25,2017,'june 2017','original content','imperial probe droid'
sw0846,2,6.27,212.72,'2017 - 2018','june 2017','episode ii','obi-wan kenobi'
sw0845,1,176.43,3909.80,2017,'june 2017','episode ii','jango fett'
sw0844,1,17.67,60.00,2017,'june 2017','episode ii','young boba fett'
sw0843,1,15.20,209.50,2017,'june 2017','original content',quarrie
sw0842,1,8.79,183.00,2017,'june 2017','the force awakens','first order heavy assault stormtrooper'
sw0841,2,12.46,?,2017,'june 2017','the force awakens','old han solo'
sw0840,1,15.01,326.50,2017,'june 2017','the force awakens',bala-tik
sw0839,2,4.40,85.87,'2017 - 2018','june 2017','the force awakens','guavian security soldier'
sw0838,1,1.26,?,2017,'june 2017','episode iii','prowler 1000 exploration droid'
sw0837,1,16.89,118.07,2017,'june 2017',legends,'clone trooper gunner'
sw0836,1,3.56,23.10,2017,'june 2017','episode iii','fx-series medical assistant droid'
sw0835,1,2.44,30.05,2017,'june 2017','episode iii','medical droid'
sw0834,2,10.67,66.16,'2017 - 2018','june 2017','episode iii','darth vader'
sw0833,1,38.87,605.59,2017,'june 2017',legends,'aayla secura'
sw0832,1,3.82,123.71,2017,'june 2017','the force awakens','first order officer'
sw0831a,3,2.91,12.59,'2017 - 2019','june 2017','original content',ig-88
sw0830,2,6.31,258.50,'2017 - 2019','june 2017','original content',4-lom
sw0829,1,7.59,351.83,2017,'june 2017','episode iii','anakin skywalker'
sw0828,1,16.76,463.61,2017,'june 2017','original content',bossk
sw0827,1,57.27,1051.86,2017,'may 2017','ultimate collector series','snowspeeder gunner will scotian'
sw0826,1,54.66,398.08,2017,'may 2017','ultimate collector series','snowspeeder pilot zev senesca'
sw0825,1,6.83,147.13,2017,'october 2017','rogue one',r3-m2
sw0824,1,24.17,423.24,2017,'february 2017','rogue one',moroff
sw0823,2,5.74,153.70,'2017 - 2018','february 2017','episode vi','han solo'
sw0822,1,24.47,327.85,2017,'february 2017','episode vi','boba fett'
sw0821,1,16.46,517.49,2017,'february 2017','episode vi','skiff guard'
sw0820,1,25.98,354.85,2017,'february 2017','episode vi','rebel ground crew'
sw0819,2,10.84,158.82,'2017 - 2019','february 2017','episode vi','rebel pilot a-wing'
sw0818,1,62.42,901.84,2017,'february 2017','episode vi','lando calrissian'
sw0817,1,65.99,1937.77,2017,'february 2017',rebels,'kanan jarrus'
sw0816,1,16.15,233.64,2017,'february 2017','rogue one','admiral raddus'
sw0815,1,37.55,473.52,2017,'february 2017','rogue one','scarif stormtrooper'
sw0814,1,8.03,165.12,2017,'february 2017','rogue one','jyn erso'
sw0813,1,24.26,647.15,2017,'february 2017','rogue one','cassian andor'
sw0812,1,11.28,394.98,2017,'february 2017','episode i','obi-wan kenobi'
sw0811,1,110.74,2416.80,2017,'february 2017',rebels,'admiral thrawn'
sw0810,1,18.33,516.27,2017,'february 2017','episode i','qui-gon jinn'
sw0809,1,13.58,133.08,2017,'february 2017','rogue one','rebel astromech droid'
sw0808,2,9.06,205.64,'2017 - 2019','february 2017','episode i','darth maul'
sw0807,2,12.49,379.39,'2017 - 2018','february 2017','rogue one','imperial death trooper'
sw0806,1,5.87,235.18,2017,'february 2017','rogue one','rebel trooper'
sw0805,1,6.91,78.00,2017,'february 2017','rogue one','rebel trooper'
sw0804,1,6.05,32.82,2017,'february 2017','rogue one','rebel trooper'
sw0803,1,5.84,24.58,2017,'february 2017','rogue one','rebel trooper'
sw0802,3,5.15,120.75,'2017 - 2018','february 2017',microfighters,'imperial shuttle pilot'
sw0801,1,14.96,359.46,2017,'february 2017',microfighters,'rebel pilot y-wing'
sw0800,1,11.18,301.90,2017,'february 2017',microfighters,'rebel pilot u-wing'
sw0798s,1,17.92,270.86,2016,'october 2016','rogue one',pao
sw0798,1,10.35,236.96,2016,'october 2016','rogue one',pao
sw0797,1,9.50,132.76,2016,'october 2016','rogue one','imperial at-st driver'
sw0796,1,32.25,283.37,2016,'october 2016','rogue one','imperial death trooper'
sw0795,1,17.66,401.75,2016,'october 2016','rogue one','imperial hovertank pilot'
sw0794,1,12.28,209.53,2016,'october 2016','rogue one','bodhi rook'
sw0793,2,8.03,314.55,'2016 - 2017','october 2016','rogue one','rebel pilot u-wing'
sw0792,1,11.74,277.90,2016,'october 2016','rogue one','corporal eskro casrich rebel trooper'
sw0791,1,38.50,430.30,2016,'october 2016','rogue one','jyn erso'
sw0790,1,17.60,368.38,2016,'october 2016','rogue one','cassian andor'
sw0789,1,21.54,1124.00,2016,'october 2016','rogue one','chirrut imwe'
sw0788,3,4.37,137.80,'2016 - 2019','october 2016','rogue one','tie striker fighter pilot'
sw0787,1,32.72,346.88,2016,'october 2016','rogue one','scarif stormtrooper captain'
sw0786,1,17.39,431.18,2016,'october 2016','rogue one','private basteren rebel trooper'
sw0785,2,4.66,115.45,'2016 - 2017','october 2016','rogue one','imperial ground crew'
sw0784,1,5.77,218.45,2016,'october 2016','rogue one','lieutenant sefla rebel trooper'
sw0783,1,13.90,187.61,2016,'october 2016','rogue one','baze malbus'
sw0782,1,41.10,452.01,2016,'october 2016','rogue one','k-2so droid'
sw0781,1,57.75,386.15,2016,'october 2016','rogue one','director orson callan krennic'
sw0780,1,12.69,639.49,2016,'october 2016','rogue one',bistan
sw0779,1,14.86,159.45,2016,'october 2016','ultimate collector series','princess leia'
sw0778,8,3.68,?,'2016 - 2022','october 2016','ultimate collector series','luke skywalker'
sw0777,2,10.78,90.51,'2016 - 2017','october 2016','ultimate collector series','luke skywalker stormtrooper'
sw0776,1,4.44,52.57,2016,'october 2016','ultimate collector series','interrogation droid'
sw0775,1,52.34,392.79,2016,'october 2016','ultimate collector series','imperial officer'
sw0774,1,73.69,1574.80,2016,'october 2016','ultimate collector series','imperial navy officer'
sw0773,1,25.07,159.00,2016,'october 2016','ultimate collector series','imperial astromech droid'
sw0772,2,10.62,85.98,'2016 - 2017','october 2016','ultimate collector series','han solo stormtrooper'
sw0771,4,4.80,?,'2016 - 2021','october 2016','ultimate collector series','han solo'
sw0770,1,108.94,765.66,2016,'october 2016','ultimate collector series','grand moff wilhuff tarkin'
sw0769,1,9.67,334.39,2016,'october 2016','ultimate collector series','death star trooper'
sw0768,1,29.37,460.07,2016,'october 2016','ultimate collector series','death star droid'
sw0767,1,3.41,13.49,2016,'september 2016',seasonal,'gonk droid (gnk power droid)'
sw0766,2,7.16,111.43,'2016 - 2018','september 2016',?,'silver protocol droid (u-3po)'
sw0765,1,4.01,128.00,2016,'september 2016',seasonal,'hoth rebel trooper'
sw0764b,1,4.02,41.49,2017,'september 2017','magazine gifts',snowtrooper
sw0764,1,3.75,53.79,2016,'september 2016',seasonal,snowtrooper
sw0763,1,6.34,140.33,2016,'september 2016',seasonal,'snow chewbacca'
sw0762,4,4.13,42.12,'2016 - 2019','september 2016',?,'bespin guard'
sw0761,3,9.67,80.76,2016,'august 2016',?,'rebel pilot'
sw0759,1,294.21,3243.30,2016,'august 2016',rebels,'ahsoka tano'
sw0758,1,43.63,667.49,2016,'august 2016',rebels,'commander sato'
sw0757,1,6.18,58.11,2016,'october 2016',rebels,'rebel pilot a-wing'
sw0756,2,10.45,452.56,'2016 - 2017','june 2016','original content',ro-gr
sw0755,1,6.97,159.67,2016,'june 2016','original content',kordi
sw0754,1,7.01,199.62,2016,'june 2016','original content',zander
sw0753,1,5.96,35.94,2016,'june 2016','original content',rowan
sw0752,1,25.90,324.68,2016,'june 2016','original content',naare
sw0751,2,5.71,19.08,'2016 - 2017','june 2016','original content',dengar
sw0750,1,38.37,711.92,2016,'june 2016',rebels,'commander wolffe'
sw0749,1,62.09,782.00,2016,'june 2016',rebels,'captain rex'
sw0748,1,24.11,590.18,2016,'june 2016',rebels,'commander gregor'
sw0747,1,67.91,1443.40,2016,'june 2016',rebels,'imperial inquisitor fifth brother'
sw0746,1,26.94,243.93,2016,'june 2016','episode iii','quinlan vos'
sw0745,1,84.45,1819.40,2016,'june 2016','episode iii','luminara unduli'
sw0744,1,32.26,419.26,2016,'june 2016',rebels,'darth vader'
sw0743,1,15.36,408.75,2016,'june 2016',rebels,'rebel pilot a-wing'
sw0742,2,16.04,488.06,'2016 - 2017','june 2016',rebels,'sabine wren'
sw0741,1,48.36,678.33,2016,'june 2016',rebels,'grand moff wilhuff tarkin'
sw0740,1,6.35,243.81,2016,'june 2016','the force awakens',teedo
sw0739,1,7.78,214.59,2016,'june 2016','the force awakens','unkar plutt'
sw0738,1,13.88,156.84,2016,'june 2016','the force awakens','lor san tekka'
sw0737,2,8.06,?,'2016 - 2022','june 2016',?,'poe dameron'
sw0736,1,24.03,348.44,2016,'may 2016','ultimate collector series','hoth rebel trooper'
sw0735,1,22.59,358.39,2016,'may 2016','ultimate collector series','hoth rebel trooper'
sw0734,1,6.33,137.29,2016,'may 2016','ultimate collector series','hoth rebel trooper'
sw0731,1,58.93,785.85,2016,'may 2016','ultimate collector series','luke skywalker'
sw0730,1,29.04,295.21,2016,'may 2016','ultimate collector series','wedge antilles'
sw0729,1,55.50,2009.36,2016,'may 2016','ultimate collector series','wes janson'
sw0728,1,11.98,165.30,2016,'may 2016','ultimate collector series','rebel officer'
sw0727,1,10.59,157.60,2016,'may 2016','ultimate collector series','han solo'
sw0726,1,30.40,492.62,2016,'may 2016','ultimate collector series','toryn farr'
sw0725,1,28.73,335.91,2016,'may 2016','ultimate collector series',k-3po
sw0724,1,26.00,224.62,2016,'may 2016','ultimate collector series',r3-a2
sw0723,2,5.09,136.89,'2016 - 2017','june 2016',?,'unkar\'s brute'
sw0722,1,13.63,136.85,2016,'may 2016','the force awakens','first order heavy assault stormtrooper'
sw0721,1,4.15,120.56,2016,'january 2016','the force awakens','resistance trooper'
sw0720,1,3.86,10.30,2016,'january 2016','the force awakens','resistance trooper'
sw0719,1,16.54,278.07,2016,'january 2016','the force awakens','admiral ackbar'
sw0718,1,8.06,72.18,2016,'january 2016','the force awakens','general leia'
sw0717,1,14.58,164.27,2016,'january 2016','the force awakens','kylo ren'
sw0716,1,7.31,51.09,2016,'june 2016','the force awakens',finn
sw0715,1,6.46,117.80,2016,'april 2016','the force awakens','first order general'
sw0714,1,3.60,104.50,2016,'march 2016','episode v','han solo'
sw0713,1,5.67,32.78,2016,'march 2016',microfighters,wookiee
sw0712a,1,4.50,92.83,2016,?,'magazine gifts','imperial probe droid'
sw0712,1,5.32,143.95,2016,'march 2016','episode v','imperial probe droid'
sw0711,2,16.29,106.58,'2016 - 2019','march 2016','episode v','boba fett'
sw0710,1,5.95,170.40,2016,'march 2016','episode v',ugnaught
sw0709,1,11.31,287.05,2016,'march 2016','episode v','han solo'
sw0708,2,5.12,126.46,2016,'march 2016','ultimate collector series','hoth rebel trooper'
sw0707,4,9.56,164.88,'2016 - 2019','march 2016','episode iii',yoda
sw0706,2,6.50,53.00,'2016 - 2017','march 2016','episode iii','r4-p17 astromech droid'
sw0705,1,4.47,61.27,2016,'march 2016',microfighters,'resistance pilot x-wing snap wexley'
sw0704,1,12.55,195.24,2016,'march 2016','episode iii','obi-wan kenobi'
sw0703,1,7.36,178.67,2016,'january 2016','the force awakens','maz kanata'
sw0702,2,11.18,288.69,'2016 - 2017','march 2016',rebels,'imperial combat driver'
sw0701,1,4.40,78.57,2016,'january 2016',microfighters,'first order snowtrooper'
sw0700,11,3.48,?,'2016 - 2020','march 2016','episode iv',c-3po
sw0699,1,2.91,10.70,2016,'january 2016','the force awakens','resistance officer'
sw0698,1,3.48,18.98,2016,'january 2016','the force awakens','resistance trooper'
sw0697,1,3.71,36.13,2016,'january 2016','the force awakens','resistance trooper'
sw0696,1,3.59,9.68,2016,'january 2016','the force awakens','resistance trooper'
sw0695,1,5.19,146.86,2016,'january 2016','the force awakens','first order heavy assault stormtrooper'
sw0694,1,2.46,6.87,2016,'january 2016','the force awakens','first order crew member'
sw0693,1,8.49,212.30,2016,'march 2016',battlefront,'imperial crew'
sw0692,1,17.35,259.85,2016,'march 2016',battlefront,'imperial shock trooper'
sw0691,1,8.30,170.98,2016,'march 2016',battlefront,'imperial jet pack trooper'
sw0690,1,7.43,251.67,2016,'march 2016',battlefront,'rebel trooper'
sw0689,1,9.18,312.25,2016,'march 2016',battlefront,'duros alliance fighter'
sw0688,1,5.81,175.00,2016,'march 2016',battlefront,'rebel trooper'
sw0687,1,7.69,275.11,2016,'march 2016',battlefront,'rodian alliance fighter'
sw0684,1,40.73,165.82,2015,'september 2015','the force awakens','captain phasma'
sw0683,1,1.95,1.37,2015,'september 2015',seasonal,'assassin droid'
sw0682,1,1.46,50.91,2015,'september 2015',seasonal,'imperial probe droid'
sw0681,1,1.57,58.93,2015,'september 2015',seasonal,'lin demolitionmech droid'
sw0680,1,6.79,118.70,2015,'september 2015',seasonal,'santa c-3po'
sw0679,1,5.23,52.70,2015,'september 2015',seasonal,'reindeer r2-d2'
sw0678,2,4.80,111.63,'2015 - 2016','september 2015',seasonal,'hoth rebel trooper'
sw0677,6,3.17,?,'2015 - 2019','september 2015','the force awakens',rey
sw0676,5,2.43,?,'2015 - 2018','september 2015','the force awakens',finn
sw0675,1,9.68,97.84,2015,'september 2015','the force awakens','han solo'
sw0674,1,6.86,157.10,2015,'september 2015','the force awakens','tasu leech'
sw0673,1,4.90,122.80,2015,'september 2015','the force awakens','kanjiklub gang member'
sw0672,1,5.28,57.89,2015,'september 2015','the force awakens','first order tie fighter pilot'
sw0671,5,2.27,18.89,'2015 - 2018','september 2015','the force awakens','first order crew member'
sw0670,1,6.33,97.53,2015,'september 2015','the force awakens','first order officer'
sw0669,1,4.03,130.15,2015,'september 2015','the force awakens','resistance soldier'
sw0668,1,6.22,158.03,2015,'september 2015','the force awakens','resistance soldier'
sw0667,8,3.65,11.26,'2015 - 2017','september 2015','the force awakens','first order stormtrooper'
sw0666,4,4.89,175.25,'2015 - 2017','september 2015','the force awakens','first order flametrooper'
sw0665,1,5.60,151.38,2015,'september 2015','the force awakens','first order officer'
sw0664,1,15.74,197.67,2015,'september 2015','the force awakens','first order stormtrooper officer'
sw0663,1,23.40,180.49,2015,'september 2015','the force awakens','kylo ren'
sw0662,1,13.02,192.29,2015,'september 2015','the force awakens','general hux'
